,ID,NAME,DATE,TIME,L,CLASS,LAT,LONG,WIND,PRESS,SEASON,NUM,LINK
0,EP011949,UNNAMED,1949-06-11, 0000,,TS,20.2,-106.3,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
1,EP011949,UNNAMED,1949-06-11, 0600,,TS,20.2,-106.4,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
2,EP011949,UNNAMED,1949-06-11, 1200,,TS,20.2,-106.7,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
3,EP011949,UNNAMED,1949-06-11, 1800,,TS,20.3,-107.7,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
4,EP011949,UNNAMED,1949-06-12, 0000,,TS,20.4,-108.6,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
5,EP011949,UNNAMED,1949-06-12, 0600,,TS,20.5,-109.4,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
6,EP011949,UNNAMED,1949-06-12, 1200,,TS,20.6,-110.2,  45,,1949,1,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
7,EP021949,UNNAMED,1949-06-17, 1200,,TS,14.1,-107.0,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
8,EP021949,UNNAMED,1949-06-17, 1800,,TS,14.6,-107.7,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
9,EP021949,UNNAMED,1949-06-18, 0000,,TS,15.0,-108.4,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
10,EP021949,UNNAMED,1949-06-18, 0600,,TS,15.4,-109.2,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
11,EP021949,UNNAMED,1949-06-18, 1200,,TS,15.7,-110.0,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
12,EP021949,UNNAMED,1949-06-18, 1800,,TS,16.0,-110.8,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
13,EP021949,UNNAMED,1949-06-19, 0000,,TS,16.3,-111.6,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
14,EP021949,UNNAMED,1949-06-19, 0600,,TS,16.7,-112.3,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
15,EP021949,UNNAMED,1949-06-19, 1200,,TS,17.1,-112.9,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
16,EP021949,UNNAMED,1949-06-19, 1800,,TS,17.5,-113.5,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
17,EP021949,UNNAMED,1949-06-20, 0000,,TS,18.0,-114.1,  45,,1949,2,https://www.nhc.noaa.gov/data/hurdat/hurdat2-nepac-1949-2023-042624.txt
